region,country,year,population,land_area,forest,nat_for
Oceania,NIU,2000,1900,260,196,
Oceania,NIU,2005,1686,260,191,
Oceania,NIU,2010,1468,260,186,183
Oceania,NIU,2015,1468,260,181,178
Europe,NLD,1990,14890341,33880,3450,0
Europe,NLD,2000,15859863,33810,3600,0
Europe,NLD,2005,16302242,33770,3650,0
Europe,NLD,2010,16615243,33720,3730,0
Europe,NLD,2015,16842021,33750,3760,0
Europe,NOR,1990,4240375,304270,121320,110430
Europe,NOR,2000,4491572,304270,121130,107880
Europe,NOR,2005,4624388,304270,120920,106920
Europe,NOR,2010,4891251,304270,121020,106390
Europe,NOR,2015,5046451,304270,121120,105830
Asia,NPL,1990,18111200,143000,48170,47770
Asia,NPL,2000,23184177,143350,39000,38580
Asia,NPL,2005,25292058,143350,36360,35930
Asia,NPL,2010,26846016,143350,36360,35930
Asia,NPL,2015,32603418,143350,36360,35930
Oceania,NRU,1990,9157,20,0,0
Oceania,NRU,2000,10042,20,0,0
Oceania,NRU,2005,10115,20,0,0
Oceania,NRU,2010,10025,20,0,0
Oceania,NRU,2015,10000,20,0,0
Oceania,NZL,1990,3397983,263310,96580,
Oceania,NZL,2000,3858032,263310,101390,
Oceania,NZL,2005,4134117,263310,101830,80760
Oceania,NZL,2010,4368136,263310,101510,80690
Oceania,NZL,2015,4603971,263310,101520,80650
Asia,OMN,1990,1810103,309500,20,0
Asia,OMN,2000,2192535,309500,20,0
Asia,OMN,2005,2522325,309500,20,0
Asia,OMN,2010,2802768,309500,20,0
Asia,OMN,2015,3057779,309500,20,0
Asia,PAK,1990,111090879,770880,25270,22930
Asia,PAK,2000,143832014,770880,21160,18200
Asia,PAK,2005,157971415,770880,19020,15840
Asia,PAK,2010,173149306,770880,16870,13470
Asia,PAK,2015,189509811,770880,14720,11100
North and Central America,PAN,1990,2486776,74340,50400,50280
North and Central America,PAN,2000,3054812,74340,48670,48230
North and Central America,PAN,2005,3365929,74340,47820,47210
North and Central America,PAN,2010,3678128,74340,46990,46200
North and Central America,PAN,2015,3784496,74340,46170,45370
Oceania,PCN,1990,,47,35,0
Oceania,PCN,2000,,47,35,0
Oceania,PCN,2005,,47,35,0
Oceania,PCN,2010,,47,35,0
Oceania,PCN,2015,,47,35,0
South America,PER,1990,21772035,1280000,779210,776580
South America,PER,2000,26000080,1280000,761470,754320
South America,PER,2005,27723281,1280000,755280,747740
South America,PER,2010,29262830,1280000,748110,738180
South America,PER,2015,30784000,1280000,739730,728160
Asia,PHL,1990,61948688,298170,65550,62540
Asia,PHL,2000,77651848,298170,70270,67040
Asia,PHL,2005,85821214,298170,70740,70270
Asia,PHL,2010,93444322,298170,68400,67950
Asia,PHL,2015,101298880,298170,80400,67950
Oceania,PLW,1990,15089,460,382,
Oceania,PLW,2000,19174,460,396,
Oceania,PLW,2005,19907,460,403,
Oceania,PLW,2010,20470,460,403,
Oceania,PLW,2015,20470,460,403,
Oceania,PNG,1990,4157903,452860,336270,336270
Oceania,PNG,2000,5379226,452860,336000,336000
Oceania,PNG,2005,6095959,452860,335860,335860
Oceania,PNG,2010,6858945,463120,335730,335730
Oceania,PNG,2015,7629246,463120,335590,335590
Europe,POL,1990,38149944,304420,88810,3700
Europe,POL,2000,38351437,304360,90590,4140
Europe,POL,2005,38206337,306330,92000,4330
Europe,POL,2010,38198754,306230,93290,4520
Europe,POL,2015,38330215,306220,94350,4780
North and Central America,PRI,1990,3517984,8564,2870,2870
North and Central America,PRI,2000,3796981,8564,4501,4501
North and Central America,PRI,2005,3761143,8564,4629,4629
North and Central America,PRI,2010,3709671,8564,4794,4794
North and Central America,PRI,2015,3743407,8564,4960,4960
Asia,PRK,1990,20194361,120410,82010,70710
Asia,PRK,2000,22840225,120410,69330,59780
Asia,PRK,2005,23813333,120410,62990,54310
Asia,PRK,2010,24500520,120410,56660,48850
Asia,PRK,2015,24904209,120410,50310,43270
Europe,PRT,1990,9899450,91600,34360,
Europe,PRT,2000,10306192,90830,33430,25411
Europe,PRT,2005,10510967,90310,32960,24571
Europe,PRT,2010,10589792,90260,32390,23741
Europe,PRT,2015,10687241,90260,31820,22911
South America,PRY,1990,4249747,397300,211570,211340
South America,PRY,2000,5350253,397300,193680,193320
South America,PRY,2005,5904170,397300,184750,184320
South America,PRY,2010,6459721,397300,169500,168940
South America,PRY,2015,7023395,397300,153230,152250
Asia,PSE,1990,2081347,6020,91,
Asia,PSE,2000,3204572,6020,91,
Asia,PSE,2005,3559856,6020,92,
Asia,PSE,2010,4012880,6020,92,
Asia,PSE,2015,4644861,6020,92,
Oceania,PYF,1990,198370,3660,550,
Oceania,PYF,2000,237267,3660,1050,
Oceania,PYF,2005,254884,3660,1300,1210
Oceania,PYF,2010,268065,3660,1550,1450
Oceania,PYF,2015,285380,3660,1550,1450
Asia,QAT,1990,476517,11000,0,0
Asia,QAT,2000,593693,11000,0,0
Asia,QAT,2005,821159,11000,0,0
Asia,QAT,2010,1749713,11000,0,0
Asia,QAT,2015,2031907,11000,0,0
Africa,REU,1990,610582,2500,870,820
Africa,REU,2000,736091,2500,870,820
Africa,REU,2005,790983,2500,850,800
Africa,REU,2010,844579,2500,880,830
Africa,REU,2015,894246,2500,880,830
Europe,ROU,1990,23372101,229980,63710,58430
Europe,ROU,2000,22388354,229980,63660,58380
Europe,ROU,2005,22113264,229980,63910,58610
Europe,ROU,2010,21861476,230050,65150,59750
Europe,ROU,2015,21195050,230020,68610,62920
Europe,RUS,1990,148148752,16381340,8089499,7962987
Europe,RUS,2000,146762881,16381340,8092685,7939081
Europe,RUS,2005,143932966,16381390,8087900,7918275
Europe,RUS,2010,143617913,16381390,8151356,7955227
Europe,RUS,2015,141683141,16376870,8149305,7950895
Africa,RWA,1990,7214696,24670,3180,700
Africa,RWA,2000,8395577,24670,3440,620
Africa,RWA,2005,9429457,24670,3850,620
Africa,RWA,2010,10836732,24670,4460,620
Africa,RWA,2015,12297598,24670,4800,620
Asia,SAU,1990,16206078,2149690,9770,9770
Asia,SAU,2000,20144584,2149690,9770,9770
Asia,SAU,2005,24690067,2149690,9770,9770
Asia,SAU,2010,27258387,2149690,9770,9770
Asia,SAU,2015,30525521,2149690,9770,9770
Africa,SDN,1990,20008804,1866653,235703,181463
Africa,SDN,2000,27729798,1866653,218262,161872
Africa,SDN,2005,31585871,1866653,209541,151001
Africa,SDN,2010,35652002,1866653,200820,141417
Africa,SDN,2015,49121860,1866653,192099,130889
Africa,SEN,1990,7514110,192530,93480,91430
Africa,SEN,2000,9861679,192530,88980,85920
Africa,SEN,2005,11270826,192530,86730,82660
Africa,SEN,2010,12950564,192530,84730,80090
Africa,SEN,2015,14157555,192530,82730,77120
Asia,SGP,1990,3016404,670,164,164
Asia,SGP,2000,3918189,670,164,164
Asia,SGP,2005,4495537,689,164,164
Asia,SGP,2010,5078969,700,164,164
Asia,SGP,2015,5373482,700,164,164
Africa,SHN,1990,5531,390,20,0
Africa,SHN,2000,5113,390,20,0
Africa,SHN,2005,4683,390,20,0
Africa,SHN,2010,4244,390,20,0
Africa,SHN,2015,4244,390,20,0
Europe,SJM,1990,,61000,0,0
Europe,SJM,2000,,61000,0,0
Europe,SJM,2005,,61000,0,0
Europe,SJM,2010,,61000,0,0
Europe,SJM,2015,,61000,0,0
Oceania,SLB,1990,311849,27990,23240,22796
Oceania,SLB,2000,412336,27990,22680,22404
Oceania,SLB,2005,469306,27990,22410,22141
Oceania,SLB,2010,526447,27990,22130,21861
Oceania,SLB,2015,608414,27990,21850,21581
Africa,SLE,1990,4042678,71620,31180,31113
Africa,SLE,2000,4139757,71620,29220,29141
Africa,SLE,2005,5119895,71620,28240,28128
Africa,SLE,2010,5751976,71620,27260,27115
Africa,SLE,2015,6514345,71620,30440,26113
North and Central America,SLV,1990,5344226,20720,3770,3671
North and Central America,SLV,2000,5958794,20720,3320,3195
North and Central America,SLV,2005,6072538,20720,3090,2952
North and Central America,SLV,2010,6218195,20720,2870,2720
North and Central America,SLV,2015,6388304,20720,2650,2488
Europe,SMR,1990,24135,60,0,0
Europe,SMR,2000,26969,60,0,0
Europe,SMR,2005,29775,60,0,0
Europe,SMR,2010,30861,60,0,0
Europe,SMR,2015,30861,60,0,0
Africa,SOM,1990,6321615,627340,82820,82790
Africa,SOM,2000,7385416,627340,75150,75120
Africa,SOM,2005,8466938,627340,71310,71280
Africa,SOM,2010,9636173,627340,67470,67440
Africa,SOM,2015,10610428,627340,63630,63600
North and Central America,SPM,1990,6279,230,34,34
North and Central America,SPM,2000,6271,230,32,32
North and Central America,SPM,2005,6138,230,30,30
North and Central America,SPM,2010,6047,230,29,29
North and Central America,SPM,2015,6047,230,28,28
Europe,SRB,1990,9735429,87460,23130,22740
Europe,SRB,2000,10272445,87460,24600,24210
Europe,SRB,2005,9956359,87460,24760,24370
Europe,SRB,2010,9647109,87460,27130,25330
Europe,SRB,2015,9790828,87460,27200,25050
Africa,SSD,1990,5764216,631730,71570,71370
Africa,SSD,2000,6652984,631730,71570,71370
Africa,SSD,2005,8039351,631730,71570,71370
Africa,SSD,2010,9940929,631730,71570,71370
Africa,SSD,2015,9940929,631730,71570,71370
Africa,STP,1990,117395,960,560,560
Africa,STP,2000,139428,960,560,560
Africa,STP,2005,154615,960,560,560
Africa,STP,2010,178228,960,536,536
Africa,STP,2015,182317,960,536,536
South America,SUR,1990,406764,160660,154300,154170
South America,SUR,2000,466668,160660,153910,153780
South America,SUR,2005,499523,160660,153710,153580
South America,SUR,2010,524960,160660,153510,153380
South America,SUR,2015,547423,160660,153320,153190
Europe,SVK,1990,5277709,48090,19220,9620
Europe,SVK,2000,5388010,48090,19210,9630
Europe,SVK,2005,5391489,48090,19320,9670
Europe,SVK,2010,5433437,48090,19390,9770
Europe,SVK,2015,5490582,48090,19400,9800
Europe,SVN,1990,2003772,20140,11880,11540
Europe,SVN,2000,1989545,20140,12330,11970
Europe,SVN,2005,2000349,20140,12430,12060
Europe,SVN,2010,2054232,20140,12470,12150
Europe,SVN,2015,2051326,20140,12480,12140
Europe,SWE,1990,8559107,410340,280630,206640
Europe,SWE,2000,8872284,410340,281630,183240
Europe,SWE,2005,9030163,410340,282180,171190
Europe,SWE,2010,9382297,410340,280730,155090
Europe,SWE,2015,9632781,410340,280730,143360
Africa,SWZ,1990,862728,17200,4720,3120
Africa,SWZ,2000,1063715,17200,5180,3680
Africa,SWZ,2005,1104642,17200,5410,3960
Africa,SWZ,2010,1193148,17200,5630,4230
Africa,SWZ,2015,1268917,17200,5860,4500
Africa,SYC,1990,69474,460,407,358
Africa,SYC,2000,79774,460,407,358
Africa,SYC,2005,87094,460,407,358
Africa,SYC,2010,91208,460,407,358
Africa,SYC,2015,91208,460,407,358
Asia,SYR,1990,12451539,183780,3720,1975
Asia,SYR,2000,16371208,183780,4320,1975
Asia,SYR,2005,18167367,183570,4610,1975
Asia,SYR,2010,21532647,183630,4910,1975
Asia,SYR,2015,22189472,183630,4910,1975
North and Central America,TCA,1990,11550,430,344,
North and Central America,TCA,2000,18876,430,344,
North and Central America,TCA,2005,26450,430,344,
North and Central America,TCA,2010,30993,430,344,
North and Central America,TCA,2015,30993,430,344,
Africa,TCD,1990,5951574,1259200,67050,66940
Africa,TCD,2000,8301151,1259200,63260,63120
Africa,TCD,2005,10014413,1259200,61410,61260
Africa,TCD,2010,11720781,1259200,55080,54910
Africa,TCD,2015,12776944,1259200,48750,48570
Africa,TGO,1990,3787602,54390,6850,6610
Africa,TGO,2000,4864753,54390,4860,4520
Africa,TGO,2005,5540214,54390,3860,3480
Africa,TGO,2010,6306014,54390,2870,2450
Africa,TGO,2015,6673542,54390,1880,1420
Asia,THA,1990,56582726,510890,140050,113370
Asia,THA,2000,62343379,510890,170110,139000
Asia,THA,2005,65559487,510890,161000,126560
Asia,THA,2010,66402316,510890,162490,122630
Asia,THA,2015,70937551,510890,163990,124130
Asia,TJK,1990,5297286,138940,4080,3090
Asia,TJK,2000,6186152,138940,4100,3090
Asia,TJK,2005,6805655,138940,4100,3090
Asia,TJK,2010,7627326,138940,4100,3090
Asia,TJK,2015,7387129,138940,4120,3090
Oceania,TKL,1990,1609,10,0,0
Oceania,TKL,2000,1552,10,0,0
Oceania,TKL,2005,1210,10,0,0
Oceania,TKL,2010,1135,10,0,0
Oceania,TKL,2015,1000,10,0,0
Asia,TKM,1990,3668000,469930,41270,41270
Asia,TKM,2000,4501419,469930,41270,41270
Asia,TKM,2005,4747839,469930,41270,41270
Asia,TKM,2010,5041995,469930,41270,41270
Asia,TKM,2015,5374080,469930,41270,41270
Asia,TLS,1990,751488,14870,9660,9370
Asia,TLS,2000,853585,14870,8540,8110
Asia,TLS,2005,995619,14870,7980,7550
Asia,TLS,2010,1079450,14870,7420,6990
Asia,TLS,2015,1301121,14870,6860,6430
Oceania,TON,1990,95165,720,90,80
Oceania,TON,2000,97962,720,90,80
Oceania,TON,2005,100960,720,90,80
Oceania,TON,2010,104098,720,90,80
Oceania,TON,2015,106289,720,90,80
North and Central America,TTO,1990,1221904,5130,2407,2257
North and Central America,TTO,2000,1267980,5130,2336,2176
North and Central America,TTO,2005,1296933,5130,2300,2130
North and Central America,TTO,2010,1328095,5130,2264,2084
North and Central America,TTO,2015,1360352,5130,2345,2232
Africa,TUN,1990,8135302,155360,6430,3500
Africa,TUN,2000,9552776,155360,8370,3180
Africa,TUN,2005,10051352,155360,9150,3180
Africa,TUN,2010,10631830,155360,9900,3160
Africa,TUN,2015,11025651,155360,10410,3160
Asia,TUR,1990,53994605,769630,96220,81270
Asia,TUR,2000,63174483,769630,101830,82310
Asia,TUR,2005,67743052,769630,106620,84700
Asia,TUR,2010,72137546,769630,112030,83630
Asia,TUR,2015,77077803,769630,117150,83290
Oceania,TUV,1990,9004,30,10,
Oceania,TUV,2000,9419,30,10,
Oceania,TUV,2005,9694,30,10,
Oceania,TUV,2010,9827,30,10,
Oceania,TUV,2015,9827,30,10,
Africa,TZA,1990,25484814,885800,559200,557700
Africa,TZA,2000,34020512,885800,519200,517200
Africa,TZA,2005,38824384,885800,499200,496900
Africa,TZA,2010,44973330,885800,479200,476800
Africa,TZA,2015,52314990,885800,460600,457700
Africa,UGA,1990,17534839,199810,47510,47170
Africa,UGA,2000,24275641,199810,38690,38370
Africa,UGA,2005,28724869,199810,34290,33980
Africa,UGA,2010,33987213,199810,27530,26980
Africa,UGA,2015,39114115,199810,20770,20170
Europe,UKR,1990,51658594,579350,92740,46370
Europe,UKR,2000,49057226,579350,95100,47550
Europe,UKR,2005,47135932,579380,95750,47880
Europe,UKR,2010,46050220,579380,95480,47300
Europe,UKR,2015,44022786,579380,96570,47970
South America,URY,1990,3109941,175020,7978,5970
South America,URY,2000,3320841,175020,13697,7400
South America,URY,2005,3325155,175020,15218,7400
South America,URY,2010,3371982,175020,17313,7520
South America,URY,2015,3427527,175020,18450,7830
North and Central America,USA,1990,254506647,9161920,3024500,2845120
North and Central America,USA,2000,284594395,9161920,3035360,2809760
North and Central America,USA,2005,298165797,9161920,3047570,2803320
North and Central America,USA,2010,312247116,9161920,3087200,2831560
North and Central America,USA,2015,323733863,9161920,3100950,2837310
Asia,UZB,1990,20555113,425400,30450,28420
Asia,UZB,2000,24828562,425400,32120,27480
Asia,UZB,2005,26044401,425400,32950,27010
Asia,UZB,2010,27769270,425400,32755,26405
Asia,UZB,2015,29036515,440655,32199,24184
Europe,VAT,1990,770,0,0,0
Europe,VAT,2000,787,0,0,0
Europe,VAT,2005,798,0,0,0
Europe,VAT,2010,799,0,0,0
Europe,VAT,2015,799,0,0,0
North and Central America,VCT,1990,107509,390,250,
North and Central America,VCT,2000,107897,390,260,260
North and Central America,VCT,2005,108749,390,260,260
North and Central America,VCT,2010,109316,390,270,270
North and Central America,VCT,2015,109325,390,270,270
South America,VEN,1990,19740786,882050,520260,
South America,VEN,2000,24407553,882050,491510,
South America,VEN,2005,26725897,882050,477130,
South America,VEN,2010,29043283,882050,475050,469480
South America,VEN,2015,31217037,882050,466830,461260
North and Central America,VGB,1990,16459,150,37,
North and Central America,VGB,2000,20643,150,37,
North and Central America,VGB,2005,23169,150,37,
North and Central America,VGB,2010,27223,150,36,
North and Central America,VGB,2015,27000,150,36,
North and Central America,VIR,1990,103253,350,236,236
North and Central America,VIR,2000,108511,350,205,205
North and Central America,VIR,2005,107768,350,187,187
North and Central America,VIR,2010,106382,350,182,182
North and Central America,VIR,2015,107706,350,176,176
Asia,VNM,1990,68909883,323700,93630,83960
Asia,VNM,2000,80887879,311060,117270,96750
Asia,VNM,2005,84947852,310070,130770,103680
Asia,VNM,2010,89047397,310070,141280,103050
Asia,VNM,2015,92488889,310070,147730,111100
Oceania,VUT,1990,146633,12190,4400,0
Oceania,VUT,2000,185058,12190,4400,0
Oceania,VUT,2005,209375,12190,4400,0
Oceania,VUT,2010,236299,12190,4400,0
Oceania,VUT,2015,270210,12190,4400,0
Oceania,WLF,1990,13880,140,58,57
Oceania,WLF,2000,14497,140,58,55
Oceania,WLF,2005,14246,140,58,55
Oceania,WLF,2010,13565,140,58,54
Oceania,WLF,2015,13565,140,58,53
Oceania,WSM,1990,162865,2830,1300,
Oceania,WSM,2000,174614,2830,1710,1386
Oceania,WSM,2005,179928,2830,1710,1386
Oceania,WSM,2010,186029,2830,1710,1386
Oceania,WSM,2015,187567,2830,1710,1386
Asia,YEM,1990,11790249,527970,5490,5490
Asia,YEM,2000,17522537,527970,5490,5490
Asia,YEM,2005,20139661,527970,5490,5490
Asia,YEM,2010,22763008,527970,5490,5490
Asia,YEM,2015,27940529,527970,5490,5490
Africa,ZAF,1990,36793490,1214470,92410,76150
Africa,ZAF,2000,44846286,1214470,92410,75170
Africa,ZAF,2005,48235291,1214470,92410,74910
Africa,ZAF,2010,51452352,1214470,92410,74780
Africa,ZAF,2015,51420751,1214470,92410,74780
Africa,ZMB,1990,7844516,743390,528000,527400
Africa,ZMB,2000,10100981,743390,511340,510740
Africa,ZMB,2005,11470022,743390,503010,502410
Africa,ZMB,2010,13216985,743390,494680,494060
Africa,ZMB,2015,15239833,743390,486350,485710
Africa,ZWE,1990,10461782,386850,221640,220100
Africa,ZWE,2000,12503652,386850,188940,187740
Africa,ZWE,2005,12710589,386850,172590,171510
Africa,ZWE,2010,13076978,386850,156240,155370
Africa,ZWE,2015,14002616,386850,140620,139750